;I;Q;I_hex;Q_hex
1062;-0.00382387638092041;0.0011456608772277832;00ff0565;00004b15
1063;-0.0038271546363830566;0.0011281371116638184;00ff052e;000049ef
1064;-0.003829777240753174;0.0011276602745056152;00ff0502;000049e7
1065;-0.003824591636657715;0.0011153817176818848;00ff0559;00004919
1066;-0.0038198232650756836;0.0011241436004638672;00ff05a9;000049ac
1067;-0.0038222074508666992;0.0011196136474609375;00ff0581;00004960
1068;-0.003831923007965088;0.001119852066040039;00ff04de;00004964
1069;-0.0038226842880249023;0.0011269450187683105;00ff0579;000049db
1070;-0.0038271546363830566;0.0011222362518310547;00ff052e;0000498c
1071;-0.0038300156593322754;0.0011054277420043945;00ff04fe;00004872
1072;-0.003830254077911377;0.0011132359504699707;00ff04fa;000048f5
1073;-0.0038356781005859375;0.0011149048805236816;00ff049f;00004911
1074;-0.0038404464721679688;0.0011075735092163086;00ff044f;00004896
1075;-0.0038189291954040527;0.0011113286018371582;00ff05b8;000048d5
1076;-0.0038326382637023926;0.0011094212532043457;00ff04d2;000048b5
1077;-0.0038368701934814453;0.0011174678802490234;00ff048b;0000493c
1078;-0.0038361549377441406;0.0011205673217773438;00ff0497;00004970
1079;-0.0038338303565979004;0.0011158585548400879;00ff04be;00004921
1080;-0.003842294216156006;0.001114189624786377;00ff0430;00004905
1081;-0.0038361549377441406;0.0011075735092163086;00ff0497;00004896
1082;-0.003821730613708496;0.0011078119277954102;00ff0589;0000489a
1083;-0.0038331151008605957;0.0011044740676879883;00ff04ca;00004862
1084;-0.0038390159606933594;0.001110374927520752;00ff0467;000048c5
1085;-0.0038314461708068848;0.0011082887649536133;00ff04e6;000048a2
1086;-0.003827393054962158;0.0011137127876281738;00ff052a;000048fd
1087;-0.003832399845123291;0.00112152099609375;00ff04d6;00004980
1088;-0.0038257837295532227;0.0011205673217773438;00ff0545;00004970
1089;-0.0038300156593322754;0.0011186599731445312;00ff04fe;00004950
1090;-0.0038084983825683594;0.001130521297454834;00ff0667;00004a17
1091;-0.0038300156593322754;0.0011210441589355469;00ff04fe;00004978
1092;-0.0038300156593322754;0.0011278986930847168;00ff04fe;000049eb
1093;-0.003827393054962158;0.0011227130889892578;00ff052a;00004994
1094;-0.0038257837295532227;0.0011219978332519531;00ff0545;00004988
1095;-0.0038333535194396973;0.0011139512062072754;00ff04c6;00004901
1096;-0.0038214921951293945;0.0011262297630310059;00ff058d;000049cf
1097;-0.0038136839866638184;0.001135706901550293;00ff0610;00004a6e
1098;-0.003812253475189209;0.0011326074600219727;00ff0628;00004a3a
1099;-0.003820061683654785;0.001137852668762207;00ff05a5;00004a92
1100;-0.0038219690322875977;0.0011442303657531738;00ff0585;00004afd
1101;-0.003819584846496582;0.001137375831604004;00ff05ad;00004a8a
1102;-0.0038214921951293945;0.0011200904846191406;00ff058d;00004968
1103;-0.0038316845893859863;0.0011257529258728027;00ff04e2;000049c7
1104;-0.0038241147994995117;0.0011243224143981934;00ff0561;000049af
1105;-0.0038278698921203613;0.0011172294616699219;00ff0522;00004938
1106;-0.0038309693336486816;0.0010890960693359375;00ff04ee;00004760
1107;-0.003838062286376953;0.0010949969291687012;00ff0477;000047c3
1108;-0.003833591938018799;0.0010874271392822266;00ff04c2;00004744
1109;-0.003838062286376953;0.001080334186553955;00ff0477;000046cd
1110;-0.003833591938018799;0.0010843873023986816;00ff04c2;00004711
1111;-0.003838777542114258;0.0010848641395568848;00ff046b;00004719
1112;-0.0038510560989379883;0.0010973811149597168;00ff039d;000047eb
1113;-0.0038420557975769043;0.00109100341796875;00ff0434;00004780
1114;-0.003830254077911377;0.0010827183723449707;00ff04fa;000046f5
1115;-0.003836393356323242;0.001094043254852295;00ff0493;000047b3
1116;-0.003847062587738037;0.0010959506034851074;00ff03e0;000047d3
1117;-0.0038331151008605957;0.0010898113250732422;00ff04ca;0000476c
1118;-0.003818690776824951;0.0011002421379089355;00ff05bc;0000481b
1119;-0.003838777542114258;0.0011047124862670898;00ff046b;00004866
1120;-0.003842294216156006;0.0010860562324523926;00ff0430;0000472d
1121;-0.00383073091506958;0.0010843873023986816;00ff04f2;00004711
1122;-0.0038271546363830566;0.0011032819747924805;00ff052e;0000484e
1123;-0.003839254379272461;0.0011014342308044434;00ff0463;0000482f
1124;-0.003834962844848633;0.0010938644409179688;00ff04ab;000047b0
1125;-0.0038264989852905273;0.0010924339294433594;00ff0539;00004798
1126;-0.003835916519165039;0.001101851463317871;00ff049b;00004836
1127;-0.0038437247276306152;0.0010964274406433105;00ff0418;000047db
1128;-0.0038338303565979004;0.0010929107666015625;00ff04be;000047a0
1129;-0.0038257837295532227;0.0010817646980285645;00ff0545;000046e5
1130;-0.003851771354675293;0.0010734796524047852;00ff0391;0000465a
1131;-0.003856956958770752;0.0010900497436523438;00ff033a;00004770
1132;-0.0038361549377441406;0.0010973811149597168;00ff0497;000047eb
1133;-0.0038295388221740723;0.0010874271392822266;00ff0506;00004744
1134;-0.0038394927978515625;0.0010985732078552246;00ff045f;000047ff
1135;-0.003835916519165039;0.0011002421379089355;00ff049b;0000481b
1136;-0.003834962844848633;0.0010874271392822266;00ff04ab;00004744
1137;-0.0038645267486572266;0.001067817211151123;00ff02bb;000045fb
1138;-0.0038399696350097656;0.001076817512512207;00ff0457;00004692
1139;-0.003834068775177002;0.0010848641395568848;00ff04ba;00004719
1140;-0.0038300156593322754;0.0010704398155212402;00ff04fe;00004627
1141;-0.003837108612060547;0.0010654330253601074;00ff0487;000045d3
1142;-0.003840923309326172;0.001071155071258545;00ff0447;00004633
1143;-0.003828585147857666;0.001071333885192871;00ff0516;00004636
1144;-0.0038338303565979004;0.0010749101638793945;00ff04be;00004672
1145;-0.003836393356323242;0.0010737180709838867;00ff0493;0000465e
1146;-0.0038331151008605957;0.0010687708854675293;00ff04ca;0000460b
1147;-0.003839731216430664;0.0010791420936584473;00ff045b;000046b9
1148;-0.0038383007049560547;0.00106734037399292;00ff0473;000045f3
1149;-0.003840208053588867;0.0010578632354736328;00ff0453;00004554
1150;-0.0038503408432006836;0.0010680556297302246;00ff03a9;000045ff
1151;-0.0038489699363708496;0.0010661482810974121;00ff03c0;000045df
1152;-0.003845393657684326;0.0010644793510437012;00ff03fc;000045c3
1153;-0.0038390159606933594;0.0010581016540527344;00ff0467;00004558
1154;-0.003838062286376953;0.0010541081428527832;00ff0477;00004515
1155;-0.003840923309326172;0.0010564327239990234;00ff0447;0000453c
1156;-0.0038493871688842773;0.0010543465614318848;00ff03b9;00004519
1157;-0.0038420557975769043;0.0010550618171691895;00ff0434;00004525
1158;-0.003847777843475342;0.0010623931884765625;00ff03d4;000045a0
1159;-0.0038456320762634277;0.001056671142578125;00ff03f8;00004540
1160;-0.003842294216156006;0.0010560154914855957;00ff0430;00004535
1161;-0.0038553476333618164;0.0010474920272827148;00ff0355;000044a6
1162;-0.0038503408432006836;0.0010581016540527344;00ff03a9;00004558
1163;-0.0038458704948425293;0.0010427236557006836;00ff03f4;00004456
1164;-0.003840208053588867;0.001048445701599121;00ff0453;000044b6
1165;-0.003853440284729004;0.0010519623756408691;00ff0375;000044f1
1166;-0.003845393657684326;0.0010455846786499023;00ff03fc;00004486
1167;-0.003839731216430664;0.0010505318641662598;00ff045b;000044d9
1168;-0.0038456320762634277;0.0010524392127990723;00ff03f8;000044f9
1169;-0.0038546323776245117;0.00103682279586792;00ff0361;000043f3
1170;-0.003844916820526123;0.001062154769897461;00ff0404;0000459c
1171;-0.003841400146484375;0.00106048583984375;00ff043f;00004580
1172;-0.003844916820526123;0.0010517239570617676;00ff0404;000044ed
1173;-0.00384443998336792;0.0010548233985900879;00ff040c;00004521
1174;-0.003838062286376953;0.0010576248168945312;00ff0477;00004550
1175;-0.003847777843475342;0.0010702013969421387;00ff03d4;00004623
1176;-0.00384443998336792;0.0010668635368347168;00ff040c;000045eb
1177;-0.003835916519165039;0.0010581016540527344;00ff049b;00004558
1178;-0.0038451552391052246;0.001051485538482666;00ff0400;000044e9
1179;-0.0038588643074035645;0.001044154167175293;00ff031a;0000446e
1180;-0.0038416385650634766;0.0010595321655273438;00ff043b;00004570
